date current wind salinity temperature
2011-02-17 0.30854738 5.5656962 34.797176 28.660662
2011-02-18 0.35813624 6.7039466 34.807484 28.598566
2011-02-19 0.34374478 5.407906 34.80701 28.596775
2011-02-20 0.27788788 2.9948986 34.822292 28.785501
2011-02-21 0.23425774 1.9611064 34.814377 29.491415
2011-02-22 0.1938933 4.517852 34.843964 29.337677
2011-02-23 0.3136509 9.454947 34.816765 28.57617
2011-02-24 0.40319568 10.949109 34.82586 28.536789
2011-02-25 0.28583002 10.453393 34.851257 28.451372
2011-02-26 0.20553549 9.009262 34.884815 28.395792
2011-02-27 0.2304749 8.001354 34.89533 28.330288
2011-02-28 0.25607833 6.6372104 34.89494 28.307028
2011-03-01 0.24283452 2.711774 34.793045 28.325632
2011-03-02 0.23790117 4.2941794 34.808445 28.384024
2011-03-03 0.23439553 3.8040216 34.887108 28.6103
2011-03-04 0.22972015 3.91104 34.91576 28.788754
2011-03-05 0.24372326 5.10255 34.917522 28.760159
2011-03-06 0.31630898 8.629586 34.92356 28.443062
2011-03-07 0.45977014 11.083035 34.910885 28.285007
2011-03-08 0.32562158 9.617675 34.93196 28.210674
2011-03-09 0.1291265 7.984269 34.968155 28.134212
2011-03-10 0.19575642 8.405107 34.971096 28.109621
2011-03-11 0.20206197 8.594877 35.010372 28.020107
2011-03-12 0.091856495 6.0191855 35.003567 28.020834
2011-03-13 0.15651509 6.1521454 34.932922 28.076155
2011-03-14 0.1895025 5.029254 34.92303 28.2741
2011-03-15 0.20007145 6.8575516 34.90408 28.149857
2011-03-16 0.27389938 8.409783 34.91578 28.202833
2011-03-17 0.29487878 7.116056 34.91342 28.233065
2011-03-18 0.31135166 4.6680927 34.90246 28.339281
2011-03-19 0.32381973 2.9535115 34.87119 28.707832
2011-03-20 0.488756 6.8515925 34.81907 28.41773
2011-03-21 0.5128337 6.8855305 34.749146 28.441828
2011-03-22 0.3967023 6.0047283 34.71028 28.686676
2011-03-23 0.2562894 3.9462543 34.667847 29.003006
2011-03-24 0.21824919 2.7752843 34.647293 29.525827
2011-03-25 0.1660744 1.9239303 34.573017 29.902424
2011-03-26 0.2503898 5.742355 34.60825 29.375572
2011-03-27 0.4355261 11.025396 34.65645 28.61957
2011-03-28 0.6513516 9.188634 34.68051 28.092066
2011-03-29 0.531418 8.441256 34.597324 27.962515
2011-03-30 0.26394352 4.583683 34.468414 28.091442
2011-03-31 0.3059031 5.1342754 34.513474 28.086622
2011-04-01 0.5020639 11.051263 34.655647 27.805408
2011-04-02 0.5129323 12.821745 34.717133 27.65735
2011-04-03 0.46832356 12.351149 34.75506 27.518354
2011-04-04 0.48486984 12.377707 34.76946 27.385454
2011-04-05 0.5001024 13.41543 34.756264 27.30081
2011-04-06 0.4157833 12.616244 34.750984 27.223894
2011-04-07 0.453772 12.551148 34.75306 27.165894
2011-04-08 0.4408123 12.780489 34.755856 27.091326
2011-04-09 0.3222575 10.336963 34.767494 27.042107
2011-04-10 0.23669364 7.634553 34.782436 27.058039
2011-04-11 0.124678224 3.5873542 34.80562 27.381628
2011-04-12 0.1815422 4.816295 34.816574 27.36266
2011-04-13 0.22651918 6.065025 34.805187 27.21716
2011-04-14 0.2543613 5.0252175 34.810043 27.246124
2011-04-15 0.26590955 3.8718045 34.822235 27.498795
2011-04-16 0.3056232 4.157565 34.82683 27.444838
2011-04-17 0.33121648 6.7217064 34.817696 27.228691
2011-04-18 0.34063375 6.169438 34.821476 27.145765
2011-04-19 0.3099108 7.8882594 34.837074 27.118849
2011-04-20 0.2817267 6.434894 34.84477 27.121248
2011-04-21 0.19059427 3.0341306 34.855404 27.546484
2011-04-22 0.17232761 2.3179202 34.877987 27.887129
2011-04-23 0.20968242 5.131333 34.87761 27.822432
2011-04-24 0.29900235 9.657364 34.857788 27.177877
2011-04-25 0.31722733 10.201329 34.859585 27.0753
2011-04-26 0.36419553 11.534663 34.866894 26.966326
2011-04-27 0.37937322 10.920542 34.87585 26.868515
2011-04-28 0.40811357 11.599371 34.91382 26.775953
2011-04-29 0.41487667 11.383135 35.00081 26.69271
2011-04-30 0.332451 8.810723 35.05946 26.663183
2011-05-01 0.27793252 6.6558266 35.082924 26.706953
2011-05-02 0.24000315 5.5832314 35.095573 26.738876
2011-05-03 0.21378267 4.9706635 35.09775 26.652544
2011-05-04 0.21752624 3.3221412 35.096874 26.88385
2011-05-05 0.20147774 7.6151342 35.09877 26.624308
2011-05-06 0.25599727 8.259381 35.102047 26.517952
2011-05-07 0.25808758 8.414634 35.11425 26.471657
2011-05-08 0.091896825 4.9873757 35.138218 26.46032
2011-05-09 0.19450386 3.4773655 35.099964 26.744202
2011-05-10 0.17542233 7.406388 35.071053 26.428593
2011-05-11 0.17974621 5.435374 35.095345 26.366306
2011-05-12 0.20868583 5.645642 35.105484 26.323158
2011-05-13 0.23475881 5.1222677 35.09609 26.29529
2011-05-14 0.27122614 5.4524493 35.087383 26.231264
2011-05-15 0.31075957 9.067526 35.099533 26.109264
2011-05-16 0.40262732 11.924194 35.13758 26.006918
2011-05-17 0.4433424 11.627276 35.179478 25.949411
2011-05-18 0.34146455 11.035393 35.215843 25.888775
2011-05-19 0.33820838 10.36661 35.226116 25.805946
2011-05-20 0.36198157 10.402956 35.24778 25.755253
2011-05-21 0.30901134 10.712929 35.274513 25.725178
2011-05-22 0.20022798 7.51479 35.290054 25.785421
2011-05-23 0.123036176 3.4495249 35.28295 25.923767
2011-05-24 0.24174589 7.437077 35.260044 25.675127
2011-05-25 0.18470843 8.923262 35.247322 25.49742
2011-05-26 0.18905592 7.2982197 35.248253 25.399641
2011-05-27 0.2072223 6.671197 35.262516 25.305876
2011-05-28 0.20990193 6.7090435 35.29025 25.252937
2011-05-29 0.2414382 5.3293457 35.305748 25.314423
2011-05-30 0.22076751 3.771416 35.308453 25.359928
2011-05-31 0.22642799 4.069048 35.30338 25.282349
2011-06-01 0.23940247 4.846085 35.305878 25.244822
2011-06-02 0.23801647 4.7432513 35.313614 25.244778
2011-06-03 0.22485866 3.716867 35.32087 25.270624
2011-06-04 0.2252635 3.9615302 35.326782 25.376513
2011-06-05 0.25044516 7.036484 35.33247 25.181541
2011-06-06 0.19315532 5.7916307 35.341015 25.225256
2011-06-07 0.17558461 6.2735405 35.34739 25.20429
2011-06-08 0.16978705 5.44749 35.35624 25.300386
2011-06-09 0.17789154 5.0360856 35.36251 25.35717
2011-06-10 0.29579613 9.938284 35.360607 25.175451
2011-06-11 0.2951286 9.976144 35.358406 25.072254
2011-06-12 0.25638667 8.574401 35.367027 24.994452
2011-06-13 0.26375562 5.7413707 35.373337 24.975313
2011-06-14 0.2812484 6.0748053 35.376534 24.936752
2011-06-15 0.27402276 7.9290576 35.38057 24.839846
2011-06-16 0.28192648 6.793778 35.388355 24.795399
2011-06-17 0.25739142 4.9167566 35.392513 24.76961
2011-06-18 0.20972009 6.2569733 35.39515 24.697962
2011-06-19 0.16792874 5.0792055 35.397854 24.685673
2011-06-20 0.14995445 4.7301183 35.400246 24.659952
2011-06-21 0.11743508 2.4984398 35.40412 24.8975
2011-06-22 0.12791374 4.9125977 35.39968 24.683628
2011-06-23 0.18408798 9.328053 35.397743 24.529175
2011-06-24 0.21622202 9.0833435 35.409786 24.371702
2011-06-25 0.32466087 10.70526 35.423187 24.289371
2011-06-26 0.3983299 11.574533 35.433983 24.189047
2011-06-27 0.42321128 11.849003 35.447685 23.973783
2011-06-28 0.3360295 11.12478 35.455875 23.856754
2011-06-29 0.44035515 12.493412 35.465782 23.749224
2011-06-30 0.5104797 13.170337 35.47459 23.682625
2011-07-01 0.40927398 11.28564 35.482796 23.552557
2011-07-02 0.34987622 8.9503 35.49087 23.471197
2011-07-03 0.2914697 7.4769874 35.4967 23.436718
